genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
ehet	4	Thrb	11.80780	11.921902 	9.13788 	9.51874 			
ehet	5	Thrb				9.36017 			
ehet	6	Thrb							
ehom	1	Thrb	11.11773	12.239239 	11.03821 	10.84330 			
ehom	2	Thrb	11.18125	12.239693 	11.72034 	10.43004 			
ehom	3	Thrb	10.04116	11.660991 	10.49367 	10.14339 			
ehom	4	Thrb	11.30691	11.639651 	10.15750 	10.07573 			
ehom	5	Thrb							
ehom	6	Thrb							
khet	1	Thrb	10.02181	11.532714 	12.64748 		10.38769 	9.83228 	
khet	2	Thrb	10.74198	11.892385 	11.81917 		11.15415 	9.26642 	
khet	3	Thrb	10.93406	12.091762 		11.54426 	9.95146 	10.16230 	
khet	4	Thrb	10.66531	12.748526 	12.10162 	11.34275 	9.55679 	10.25793 	
khet	5	Thrb							
khet	6	Thrb							
khom	1	Thrb	12.18279	11.781907 	11.77581 	10.94853 	10.79189 	11.45445 	
khom	2	Thrb	12.91203	12.224751 	11.34343 	10.58611 	10.62072 	10.21803 	
khom	3	Thrb	12.66012	12.41412203	11.00961 	11.35904 	10.38934 	10.94954 	
khom	4	Thrb	12.42155	13.52714418	10.27137 	11.78676 	10.52620 	11.06414 	
khom	5	Thrb							
khom	6	Thrb							
khom	7	Thrb				11.36927 			
khom	8	Thrb				11.16231 			
khom	9	Thrb				11.32218 			
khom	10	Thrb				11.18011 			
wt	1	Pde6h	8.359980 	7.04383 	4.75227	4.71180077	4.548482766	3.896203895	
wt	2	Pde6h	8.442642 	6.71545 	5.10418 	4.60707915	4.160124958	4.047438249	5.930702989
wt	3	Pde6h	8.513724 	6.22095 	5.33133 	4.988263374	4.613496866	4.272775431	4.341765036
wt	4	Pde6h	7.630365 	6.72007 	5.25196 	5.37445042	4.594534206	4.090123388	3.730391953
wt	5	Pde6h			4.96712 				3.328748 
wt	6	Pde6h			5.32539 				4.17925 
wt	7	Pde6h			5.18690 				3.87970 
ehet	1	Pde6h	9.584431 	8.773876 	6.36722 	7.464677868	7.65844628	7.686397211	8.488581099
ehet	2	Pde6h	9.623610 	7.190938 	5.87029 	7.527819838	7.76478711	7.408932758	7.983038199
ehet	3	Pde6h	9.642298 	8.582935 	5.66925 	7.478516661	7.644841657	7.575605468	8.00348192
ehet	4	Pde6h	9.305559 	7.780829 	6.45413 	7.21253135	7.29491828	7.230341 	7.888215306
ehet	5	Pde6h				7.537062 			
ehet	6	Pde6h							
ehom	1	Pde6h	11.049626 	10.514122 	11.13448 	12.12773606	11.6880336	12.29923123	11.62374942
ehom	2	Pde6h	11.522886 	11.813362 	10.98016 	12.21023982	12.30992556	12.5057546	11.68038953
ehom	3	Pde6h	11.806371 	11.239062 	11.93579 	11.94495508	11.71652721	12.01331141	11.08753687
ehom	4	Pde6h	11.122148 	11.747666 	11.59848 	12.04742983	12.01297804	11.7789527	11.41394901
ehom	5	Pde6h							
ehom	6	Pde6h							
khet	1	Pde6h	9.761344 	8.690438 	7.13939 		8.021511012	9.7546946	9.792165905
khet	2	Pde6h	10.426060 	8.470740 	9.07427 		8.29851369	9.712600416	
khet	3	Pde6h	10.151174 	6.178340 		7.288744 	8.17662915	8.706456022	9.007545974
khet	4	Pde6h	10.788010 	7.719406 	6.98730 	8.037721 	8.008010836	8.788666422	10.86427357
khet	5	Pde6h							
khet	6	Pde6h							
khom	1	Pde6h	14.763393 	16.928230 	14.09964 	15.8179659	15.55319545	16.70895173	
khom	2	Pde6h	15.026730 		15.46441 	15.52500917		19.93489452	
khom	3	Pde6h	14.966398 	14.732574 	15.70432 	14.90355893	19.80173557	16.37093084	18.80203517
khom	4	Pde6h	15.174800 	15.375184 		16.5556923	18.61710477	17.44096368	18.45510689
khom	5	Pde6h							
khom	6	Pde6h							
khom	7	Pde6h				16.59969175			
khom	8	Pde6h				16.94604975			
khom	9	Pde6h				16.20971345			
khom	10	Pde6h				17.06659928			
wt	1	Arr3		14.95896 	11.73147	10.70633024	11.39956588	9.643831525	8.92737592
wt	2	Arr3		14.87643 	12.38182 	10.66414049	10.60565692	9.473042982	8.627974737
wt	3	Arr3		13.53908 	12.44565 	10.75185038	10.82975662	9.854047041	8.739872857
wt	4	Arr3		14.19589 	11.80297 	11.06236965	11.3838365	9.721781877	8.478164501
wt	5	Arr3			11.56100 				8.196437 
wt	6	Arr3			11.75075 				8.70390 
wt	7	Arr3			11.82066 				8.52221 
ehet	1	Arr3		14.976224 	14.73344 	15.0247	13.07889564	11.9164	12.4763076
ehet	2	Arr3		15.350247 	15.23888 	14.2109	13.19056979	12.1124	11.74412053
ehet	3	Arr3		16.201749 	15.01795 	14.1503	12.92577563	12.0391	12.42075098
ehet	4	Arr3		14.295077 	14.98870 	14.2497	12.97358275	10.7245	12.38115633
ehet	5	Arr3				14.0164			
ehet	6	Arr3							
ehom	1	Arr3		16.073771 	16.82941 	17.49942909	13.86687138	13.73491117	13.6884732
ehom	2	Arr3		17.949032 	17.27907 	17.57917509	15.57027932	13.77538928	13.31491135
ehom	3	Arr3		17.357974 	14.58538 	17.3797781	15.82493925	14.69971744	14.27226873
